                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.41248,                0.41274,                0.98754,                0.96363,                0.92337,                0.97523,                0.88992,                0.40969,                0.34696,                0.94577,             0.00033073,             0.00033073,             0.00033073
                      1,                0.45944,                 0.4579,                 1.0188,                0.92332,                0.89099,                0.95887,                0.84113,                0.50653,                0.51016,                  1.035,             0.00064763,             0.00064763,             0.00064763
                      2,                0.49345,                0.52879,                  1.029,                0.92894,                 0.8857,                0.95271,                0.83318,                0.52043,                 0.4608,                 1.0344,             0.00094802,             0.00094802,             0.00094802
                      3,                0.51569,                0.55884,                 1.0414,                0.92685,                0.91123,                0.95886,                0.84085,                0.51268,                0.45932,                  1.023,             0.00092575,             0.00092575,             0.00092575
                      4,                 0.5085,                0.54353,                 1.0433,                0.93981,                0.90493,                0.96232,                0.83415,                0.53609,                0.45332,                 1.0602,             0.00092575,             0.00092575,             0.00092575
                      5,                0.53544,                0.55251,                 1.0531,                0.92867,                0.89489,                0.95351,                0.83724,                0.51153,                0.48412,                 1.0206,               0.000901,               0.000901,               0.000901
                      6,                0.50857,                0.54118,                 1.0454,                0.90276,                0.86842,                0.92741,                0.80588,                0.52295,                0.54024,                 1.0529,             0.00087625,             0.00087625,             0.00087625
                      7,                0.50828,                0.52709,                 1.0404,                0.94792,                0.90265,                0.96178,                0.84921,                0.51372,                0.43211,                 1.0396,              0.0008515,              0.0008515,              0.0008515
                      8,                0.49751,                0.51142,                 1.0347,                0.95221,                0.90249,                0.95804,                0.85497,                0.49462,                0.42713,                 1.0258,             0.00082675,             0.00082675,             0.00082675
                      9,                0.49513,                0.51022,                 1.0412,                0.92745,                0.89245,                0.95686,                0.85471,                0.48894,                0.46335,                 1.0176,               0.000802,               0.000802,               0.000802
                     10,                0.48397,                0.48942,                 1.0303,                 0.9529,                0.89593,                0.95822,                0.84713,                0.50672,                0.42927,                 1.0399,             0.00077725,             0.00077725,             0.00077725
                     11,                0.48026,                0.49089,                 1.0285,                0.94162,                0.92769,                0.96606,                 0.8533,                0.48254,                0.40325,                 1.0079,              0.0007525,              0.0007525,              0.0007525
                     12,                 0.4832,                0.49875,                 1.0317,                0.94708,                0.91243,                0.96705,                0.86417,                0.47046,                0.40574,                0.99383,             0.00072775,             0.00072775,             0.00072775
                     13,                 0.4733,                0.46804,                 1.0179,                0.94582,                0.92697,                0.96932,                0.86239,                0.47781,                0.38105,                0.99458,               0.000703,               0.000703,               0.000703
                     14,                0.46821,                0.46071,                 1.0256,                 0.9467,                0.91284,                0.96361,                 0.8652,                0.46319,                0.40096,                0.99271,             0.00067825,             0.00067825,             0.00067825
                     15,                0.45677,                0.44813,                 1.0124,                0.95234,                0.92616,                0.97321,                0.87296,                0.45352,                0.36056,                0.98382,              0.0006535,              0.0006535,              0.0006535
                     16,                0.44845,                0.44298,                 1.0128,                 0.9623,                0.91621,                0.96918,                0.87317,                0.44707,                 0.3719,                0.97724,             0.00062875,             0.00062875,             0.00062875
                     17,                0.44489,                0.43263,                 1.0045,                0.94623,                0.92443,                0.96967,                0.87397,                0.45247,                0.37311,                0.98159,               0.000604,               0.000604,               0.000604
                     18,                0.43878,                0.42093,                0.99909,                0.96818,                0.92422,                0.97263,                0.88042,                0.43691,                0.33934,                0.97139,             0.00057925,             0.00057925,             0.00057925
                     19,                0.43586,                0.41132,                0.99808,                0.94842,                 0.9385,                0.97184,                0.88517,                0.42653,                0.35421,                0.96348,              0.0005545,              0.0005545,              0.0005545
                     20,                0.42397,                0.39443,                0.99343,                0.95092,                0.89777,                0.96472,                0.87766,                0.43489,                0.37577,                0.97256,             0.00052975,             0.00052975,             0.00052975
                     21,                0.42117,                0.39686,                0.99447,                0.96356,                  0.935,                0.97675,                0.88441,                0.43705,                 0.3376,                0.97142,               0.000505,               0.000505,               0.000505
                     22,                 0.4211,                0.38494,                0.98541,                 0.9688,                0.92327,                0.97416,                0.88082,                0.44297,                0.34566,                0.98319,             0.00048025,             0.00048025,             0.00048025
                     23,                0.42392,                0.39657,                 0.9987,                0.97662,                0.93001,                0.97944,                0.88726,                0.43958,                0.31836,                0.97894,              0.0004555,              0.0004555,              0.0004555
                     24,                0.40829,                0.37916,                0.98514,                 0.9625,                0.93776,                0.97639,                0.89211,                0.41724,                0.32401,                0.95778,             0.00043075,             0.00043075,             0.00043075
                     25,                0.40053,                 0.3759,                0.97954,                0.96756,                0.93441,                0.97421,                0.88866,                0.42028,                0.32806,                0.96095,               0.000406,               0.000406,               0.000406
                     26,                0.40394,                0.36824,                0.97852,                0.97025,                0.90996,                0.97374,                0.89197,                0.41599,                0.33608,                 0.9602,             0.00038125,             0.00038125,             0.00038125
                     27,                0.38923,                0.35699,                0.96999,                0.96791,                0.93253,                0.97718,                0.89847,                0.41323,                0.31226,                0.94985,              0.0003565,              0.0003565,              0.0003565
                     28,                0.38054,                0.34764,                0.96519,                0.97184,                0.93586,                0.98008,                0.89735,                0.41308,                0.31129,                0.95357,             0.00033175,             0.00033175,             0.00033175
                     29,                0.37866,                 0.3357,                0.97365,                0.96255,                0.95351,                0.97918,                0.90149,                0.40083,                0.30542,                0.93971,               0.000307,               0.000307,               0.000307
                     30,                0.30396,                0.26794,                0.89839,                0.96904,                0.94455,                0.97886,                0.89619,                   0.42,                0.32073,                0.96067,             0.00028225,             0.00028225,             0.00028225
                     31,                0.29571,                0.24838,                0.89801,                0.95583,                0.92927,                0.97384,                0.89114,                 0.4044,                0.34037,                0.94881,              0.0002575,              0.0002575,              0.0002575
                     32,                0.28941,                0.24201,                0.88701,                0.96528,                0.93468,                0.97654,                0.90176,                0.39444,                0.31806,                0.94483,             0.00023275,             0.00023275,             0.00023275
                     33,                0.28227,                0.23458,                  0.883,                0.95914,                0.94359,                0.97936,                0.90472,                0.39193,                0.30346,                0.94643,               0.000208,               0.000208,               0.000208
                     34,                0.27348,                0.21672,                0.88011,                0.96163,                0.93777,                0.97515,                0.90217,                0.39024,                0.30724,                 0.9413,             0.00018325,             0.00018325,             0.00018325
                     35,                 0.2712,                 0.2133,                0.87393,                0.96391,                0.93566,                0.97493,                0.90452,                0.37811,                0.30315,                0.93636,              0.0001585,              0.0001585,              0.0001585
                     36,                0.25768,                 0.2117,                0.87137,                0.96646,                0.93243,                0.97675,                0.90659,                 0.3804,                0.30214,                 0.9363,             0.00013375,             0.00013375,             0.00013375
                     37,                0.25532,                0.20502,                0.87254,                0.97347,                0.92942,                0.97573,                0.91051,                0.37122,                0.29879,                0.93315,               0.000109,               0.000109,               0.000109
                     38,                0.24305,                0.19241,                0.85867,                0.96863,                0.93342,                0.97727,                0.91011,                 0.3721,                0.29599,                0.93302,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                0.24676,                 0.1964,                0.86242,                0.97057,                0.93634,                0.97823,                0.91209,                 0.3731,                0.28993,                0.93391,               5.95e-05,               5.95e-05,               5.95e-05
